Op.,WoO,Hess,Biam-onti,Title,Key,Date,Scoring,Genre,Notes,
95,—,—,524,"String Quartet No.11 (""Serioso"")",F minor,1810-11,2vn va vc,Chamber,,
96,—,—,550,"Violin Sonata No.10 (""Cock-crow"")",G major,1812,vn pf,Chamber,,
97,—,—,536,"Piano Trio(""Archduke"")",B♭ major,1810-15,vn va vc,Chamber,,
98,—,—,652,An die ferne Geliebte:,,1816,v pf,Vocal,,
98/1,—,—,652,,,,,,,
"Auf dem Hügel sitz' ich, spähend",,,,,,,,,,
1816,v pf,Vocal,,,,,,,,
98/2,—,—,652,,,,,,,
Wo die Bergen so blau,,,,,,,,,,
1816,v pf,Vocal,,,,,,,,
98/3,—,—,652,,,,,,,
Leichte Segler in den Höhen,,,,,,,,,,
1816,v pf,Vocal,,,,,,,,
98/4,—,—,652,,,,,,,
Diese Wolken in den Höhen,,,,,,,,,,
1816,v pf,Vocal,,,,,,,,
98/5,—,—,652,,,,,,,
Es kehret der Maien,,,,,,,,,,
1816,v pf,Vocal,,,,,,,,
98/6,—,—,652,,,,,,,
"Nimm sie hin denn, diese Lieder",,,,,,,,,,
1816,v pf,Vocal,,,,,,,,
99,—,—,655,"Der Mann von Wort (""Du sagtest, Freund"")",G major,1816,v pf,Vocal,,
100,—,—,596,Merkenstein,F major,1815,2vvv pf,Vocal,2nd setting of WoO 144,
101,—,—,656,Piano Sonata No.28,A major,1816,pf,Keyboard,,
102,—,—,599,Cello Sonatas (2):,,1815,vc pf,Chamber,,
102/1,—,—,599/1,,,,,,,
Cello Sonata No.4,,,,,,,,,,
C major,1815,vc pf,Chamber,,,,,,,
102/2,—,—,599/2,,,,,,,
Cello Sonata No.5,,,,,,,,,,
D major,1815,vc pf,Chamber,,,,,,,
103,—,—,41,Wind Octet,E♭ major,1792-93,2ob 2cl 2bn 2hn,Chamber,revised for string quintet as Op.4,
104,—,—,675,String Quintet,C minor,1817,2vn 2va vc,Quintets,arrangement of Op.1/3,
105,—,—,693,National Airs with Variations (6),,1818-19,fl/vn pf,Chamber,,
105/1,—,—,693/1,,,,,,,
"Air écossais (""The Cottage Maid"")",,,,,,,,,,
G major,1818,fl/vn pf,Chamber,,,,,,,
105/2,—,—,693/2,,,,,,,
Air écossais,,,,,,,,,,
C minor,1819,fl/vn pf,Chamber,,,,,,,
105/3,—,—,693/3,,,,,,,
"Air autrichien (""A Schsserl und a Reindel"")",,,,,,,,,,
C major,1818,fl/vn pf,Chamber,,,,,,,
105/4,—,—,693/4,,,,,,,
"Air écossais (""The Last Rose of Summer"")",,,,,,,,,,
E♭ major,1818,fl/vn pf,Chamber,,,,,,,
105/5,—,—,693/5,,,,,,,
"Air écossais (""Chiling O'Guiry"")",,,,,,,,,,
E♭ major,1818,fl/vn pf,Chamber,,,,,,,
105/6,—,—,693/6,,,,,,,
"Air écossais (""Paddy Whack"")",,,,,,,,,,
D major,1818,fl/vn pf,Chamber,,,,,,,
106,—,—,708,"Piano Sonata No.29 (""Hammerklavier"")",B♭ major,1816-18,pf,Keyboard,,
107,—,—,694,National Airs with Variations (10):,,1818-19,fl/vn pf,Chamber,,
107/1,—,—,694/1,,,,,,,
"Air tirolien (""I bin a Tiroler Bua"")",,,,,,,,,,
1819,fl/vn pf,Chamber,see also WoO 158/5,,,,,,,
107/2,—,—,694/2,,,,,,,
"Air écossais (""Bonnie Laddie, Highland Laddie"")",,,,,,,,,,
1818,fl/vn pf,Chamber,,,,,,,,
107/3,—,—,694/3,,,,,,,
Air de la petite Russie,,,,,,,,,,
1819,fl/vn pf,Chamber,,,,,,,,
107/4,—,—,694/4,,,,,,,
"Air écossais (""St. Patrick's Day"")",,,,,,,,,,
1819,fl/vn pf,Chamber,see also WoO 154/4,,,,,,,
107/5,—,—,694/5,,,,,,,
"Air tirolien (""A Madel, ja a Madel"")",,,,,,,,,,
1818,fl/vn pf,Chamber,see also WoO 158/6,,,,,,,
107/6,—,—,694/6,,,,,,,
"Air écossais (""Merch Megan"")",,,,,,,,,,
1818,fl/vn pf,Chamber,see also WoO 155/11,,,,,,,
107/7,—,—,694/7,,,,,,,
"Air russe (""Schöne Minka"")",,,,,,,,,,
1818,fl/vn pf,Chamber,see also WoO 158/16,,,,,,,
107/8,—,—,694/8,,,,,,,
"Air écossais (""O, Mary at thy Window Be"")",,,,,,,,,,
1818,fl/vn pf,Chamber,,,,,,,,
107/9,—,—,694/9,,,,,,,
"Air écossais (""Oh, Thou art the Lad of my Heart"")",,,,,,,,,,
1818,fl/vn pf,Chamber,,,,,,,,
107/10,—,—,694/10,,,,,,,
"Air écossais (""The Highland Watch"")",,,,,,,,,,
1818,fl/vn pf,Chamber,,,,,,,,
108,—,—,660,Scottish Songs (25):,,1815-18,v vn vc pf,Vocal,,
108/1,—,—,660/1,,,,,,,
"Music, Love and Wine (""O let me music hear, night and day!"")",,,,,,,,,,
1817,v vn vc pf,Vocal,,,,,,,,
108/2,—,—,660/2,,,,,,,
"Sunset (""The sun upon the Weirdlaw Hill"")",,,,,,,,,,
1818,v vn vc pf,Vocal,,,,,,,,
108/3,—,—,660/3,,,,,,,
O Sweet were the Hours,,,,,,,,,,
1817,v vn vc pf,Vocal,,,,,,,,
108/4,—,—,660/4,,,,,,,
"The Maid of Isla (""O maid of Isla from yon cliff"")",,,,,,,,,,
1817,v vn vc pf,Vocal,,,,,,,,
108/5,—,—,660/5,,,,,,,
The Sweetest Lad was Jamie,,,,,,,,,,
1815,v vn vc pf,Vocal,,,,,,,,
108/6,—,—,660/6,,,,,,,
"Dim, Dim is my Eye",,,,,,,,,,
1815,v vn vc pf,Vocal,,,,,,,,
108/7,—,—,660/7,,,,,,,
"Bonnie Laddie, Highland Laddie (""Where got ye that siller moon"")",,,,,,,,,,
1815,v vn vc pf,Vocal,,,,,,,,
108/8,—,—,660/8,,,,,,,
The Lovely Lass of Inverness,,,,,,,,,,
1816,v vn vc pf,Vocal,,,,,,,,
108/9,—,—,660/9,,,,,,,
Behold my Love how Green the Groves,,,,,,,,,,
1817,v vn vc pf,Vocal,,,,,,,,
108/10,—,—,660/10,,,,,,,
"Sympathy (""Why, Julia, say, that pensive mien?"")",,,,,,,,,,
1815,v vn vc pf,Vocal,,,,,,,,
108/11,—,—,660/11,,,,,,,
O! Thou Art the Lad of my Heart,,,,,,,,,,
1815,v vn vc pf,Vocal,,,,,,,,
108/12,—,—,660/12,,,,,,,
"O, Had My Fate Been Join'd With Thine",,,,,,,,,,
1816,v vn vc pf,Vocal,,,,,,,,
108/13,—,—,660/13,,,,,,,
"Come Fill, Fill, my Good fellow!",,,,,,,,,,
1817,v vn vc pf,Vocal,,,,,,,,
108/14,—,—,660/14,,,,,,,
"O, How Can I Be Blithe and Glad",,,,,,,,,,
1816,v vn vc pf,Vocal,,,,,,,,
108/15,—,—,660/15,,,,,,,
O Cruel Was My Father,,,,,,,,,,
1816,v vn vc pf,Vocal,,,,,,,,
108/16,—,—,660/16,,,,,,,
Could This Ill World Have Been Contriv'd,,,,,,,,,,
1816,v vn vc pf,Vocal,,,,,,,,
108/17,—,—,660/17,,,,,,,
"O Mary, at Thy Window Be",,,,,,,,,,
1817,v vn vc pf,Vocal,,,,,,,,
108/18,—,—,660/18,,,,,,,
"Enchantress, Farewell",,,,,,,,,,
1818,v vn vc pf,Vocal,,,,,,,,
108/19,—,—,660/19,,,,,,,
O Swiftly Glides the Bonny Boat,,,,,,,,,,
1815,v vn vc pf,Vocal,,,,,,,,
108/20,—,—,660/20,,,,,,,
Faithfu' Johnie (When will you come again),,,,,,,,,,
1813,v vn vc pf,Vocal,,,,,,,,
108/21,—,—,660/21,,,,,,,
"Jeanie's Distress (""By William late offended"")",,,,,,,,,,
1817,v vn vc pf,Vocal,,,,,,,,
